VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
2,45,20,0.5
4,45.02,30,0.5
4,45,20,0.5
6,45,40,0.5
4,45.02,30,0.5
4,45,40,0.5
2,45.02,10,0.5
1,45,10,0.5
2,45.02,20,0.5
4,45,40,0.5
3,45,30,0.5
3,45.02,20,0.5
5,45,30,0.5
2,45.02,20,0.5
5,45,30,0.5
1,45.02,10,0.5
2,45,20,0.5
4,45.02,20,0.5
2,45,20,0.5
2,45.02,10,0.5
1,45,10,0.5
1,45,10,0.5
2,45.02,20,0.5
4,45,40,0.5
2,45.02,10,0.5
2,45,20,0.5
2,45,20,0.5
5,45.02,30,0.5
3,45,20,0.5
2,45,20,0.5
2,45.02,10,0.5
2,45,20,0.5
5,45.02,30,0.5
2,45,20,0.5
2,45.02,10,0.5
1,45,10,0.5
3,45.02,30,0.5
4,45,40,0.5
2,45,20,1
4,45.02,30,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
5,45.02,40,1
6,45,40,1
6,45.02,40,1
6,45,40,1
1,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
4,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
4,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
2,45.019999999999996,15,0.75
5,45,15,0.75
3,45.019999999999996,15,0.75
5,45,15,0.75
1,45.019999999999996,15,0.75
0,45,15,0.75
