VehicleCount,DetectorLength,PhaseDuration
0,45.019999999999996,[18.64183]
3,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
6,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
5,45.019999999999996,[39.86767]
6,45.0,[39.86767]
1,45.019999999999996,[18.64183]
4,45.0,[39.86767]
